epoch,accuracy,loss,val_accuracy,val_loss
0,0.10779082030057907,3.3025436401367188,0.11395540833473206,2.3554348945617676
1,0.10547848045825958,3.003626823425293,0.11395540833473206,2.32157301902771
0,0.14381901919841766,3.2706480026245117,0.27176299691200256,2.2308568954467773
1,0.21316994726657867,2.6620922088623047,0.31931236386299133,2.092257022857666
2,0.25680044293403625,2.3360466957092285,0.3101682662963867,2.043464422225952
3,0.29975759983062744,2.1312897205352783,0.3361375331878662,1.9754741191864014
4,0.3195529282093048,2.0001046657562256,0.32882222533226013,1.9667785167694092
5,0.3380016088485718,1.9468865394592285,0.354791522026062,1.909222960472107
6,0.36749258637428284,1.86579430103302,0.36356985569000244,1.877774715423584
7,0.3843253552913666,1.7950587272644043,0.3624725639820099,1.8639479875564575
8,0.39011579751968384,1.7976691722869873,0.3884418308734894,1.793965458869934
9,0.4000808000564575,1.761670708656311,0.39356255531311035,1.7799006700515747
10,0.39253973960876465,1.7762130498886108,0.35881492495536804,1.867953896522522
11,0.42472395300865173,1.6767677068710327,0.34930503368377686,1.8909820318222046
12,0.45933207869529724,1.5937319993972778,0.38953912258148193,1.7884867191314697
13,0.4767034649848938,1.528242826461792,0.4275786280632019,1.7059262990951538
14,0.4916509687900543,1.4889172315597534,0.44001463055610657,1.719975471496582
15,0.5134661793708801,1.415801763534546,0.45720556378364563,1.677546501159668
16,0.5114462971687317,1.4277487993240356,0.44074615836143494,1.7079627513885498
17,0.5253164768218994,1.395803689956665,0.4557425081729889,1.6864144802093506
18,0.5614058971405029,1.2904505729675293,0.4418434500694275,1.7313979864120483
19,0.5684083104133606,1.246306300163269,0.429773211479187,1.7571837902069092
20,0.5704282522201538,1.2617902755737305,0.46159473061561584,1.7239700555801392
21,0.6113654971122742,1.140526294708252,0.48280906677246094,1.6162644624710083
22,0.610826849937439,1.1439576148986816,0.4890270531177521,1.6260995864868164
23,0.641664445400238,1.0517923831939697,0.47768837213516235,1.6878598928451538
24,0.6259089708328247,1.1185215711593628,0.4436722695827484,1.7738261222839355
25,0.6127120852470398,1.1376714706420898,0.48280906677246094,1.7396435737609863
26,0.678561806678772,0.9611081480979919,0.5248720049858093,1.6136482954025269
27,0.6743872761726379,0.964668869972229,0.513899028301239,1.6813108921051025
28,0.5004040002822876,1.5121408700942993,0.3997805416584015,2.0680429935455322
29,0.6116347908973694,1.1337510347366333,0.4743964970111847,1.8106410503387451
30,0.5801239013671875,1.242238163948059,0.4458668529987335,1.886777639389038
31,0.6299488544464111,1.0908877849578857,0.46817848086357117,1.7618037462234497
32,0.6312954425811768,1.0832128524780273,0.45940014719963074,1.8573294878005981
33,0.6898733973503113,0.9124969840049744,0.5106071829795837,1.70062255859375
34,0.7056288719177246,0.8516902327537537,0.5212143659591675,1.6524261236190796
35,0.7335038781166077,0.7862885594367981,0.48719823360443115,1.8022241592407227
36,0.42499327659606934,1.7956275939941406,0.2589612305164337,2.665600538253784
37,0.5519795417785645,1.3136844635009766,0.32406729459762573,2.445686101913452
38,0.6218690872192383,1.102358102798462,0.38661301136016846,2.1719138622283936
39,0.6525720357894897,1.0129015445709229,0.47329920530319214,1.8483223915100098
40,0.653110682964325,1.0257470607757568,0.48719823360443115,1.8003305196762085
41,0.6914893388748169,0.8993706703186035,0.5003657937049866,1.7368510961532593
42,0.6850255727767944,0.9405981302261353,0.5014630556106567,1.78498375415802
43,0.730945348739624,0.7964646816253662,0.5252377390861511,1.7376186847686768
44,0.7236735820770264,0.8184651136398315,0.5449890494346619,1.6851493120193481
45,0.7497979998588562,0.7337609529495239,0.5654718279838562,1.659684419631958
46,0.7612442970275879,0.7041651606559753,0.5621799826622009,1.703368067741394
47,0.7044169306755066,0.8865345120429993,0.5109729170799255,1.8437618017196655
48,0.7181524634361267,0.8292632102966309,0.4996342360973358,1.8392342329025269
49,0.7527605891227722,0.7425013780593872,0.5354791283607483,1.7859301567077637
